"Link","Photo Url","Price","Name","City"
"https://www.facebook.com/marketplace/np/item/1201725577795088/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/465542417_874792144774097_450608860298164580_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=SInQom5XLVoQ7kNvgEDAyZw&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYAzoQ1xldU1_-SbpsjgzdUoLqq2Gt3co_NrimK9byK1FQ&oe=6787440C","44 990 лв.","ЦЕНАТА Е В ЕВРО! КЪЩА В СЕЛО ЯМНА","Етрополе"
"https://www.facebook.com/marketplace/np/item/930414139181667/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473211364_1633425507281394_6540325619547007744_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=3UmsgsRY2CoQ7kNvgFzmJ5b&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYAeq8AIGPQJgivgzzWfIVf9AsClpD8fgRBZmi1mLzdjSQ&oe=67875D70","375 000 лв.","🆕🆕🆕Южен тристаен с гараж, кв. Витоша","София, България"
"https://www.facebook.com/marketplace/np/item/499961179278863/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473197898_917796967218341_5179634067500341914_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=upoalx-2eFIQ7kNvgEqApzk&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYCiR0upzZF9eADcxdlliNrdXLAFU6hfJb2SJQ-9bz3zLQ&oe=67874A21","57 000 лв.","ИНВЕСТИЦИОНЕН!!! ГОТОВ ЗА ОТДАВАНЕ ПОД НАЕМ-600лв","София, България"
"https://www.facebook.com/marketplace/np/item/610319104880243/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473208623_931359142461534_3216824238902002006_n.jpg?stp=c0.40.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=qieShSzWLdYQ7kNvgGqHPKB&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYDzsBfhphehdgqI6S-RngzFfaQLpOv09eNlw-1FWlnVSA&oe=6787732D","73 000 лв.","Продавам триетажна къща в с.Ръжавец, област Перник","Pernik, Bulgaria"
"https://www.facebook.com/marketplace/np/item/9158840707530015/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472715263_8950774694959744_3826042989355769547_n.jpg?stp=c167.0.1000.1000a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=gm71C0LeUEsQ7kNvgGSujy7&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=Ae-bLWBl_DPj6CWjj4qiGiv&oh=00_AYCpm7songbrjz-QURpwjWYhIH4SGfLNtp7fXPOTbZv84w&oe=67875DF9","160 000 лв.","Тристаен Апартамент в Студентски град","София, България"
"https://www.facebook.com/marketplace/np/item/1312709823091361/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/472247136_989566233018565_68004597251971067_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=2VIocN7I6-QQ7kNvgGoToPu&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=Ae-bLWBl_DPj6CWjj4qiGiv&oh=00_AYCM_6BMk_jJPkA_HWv1N5et3Os7cDj07rddIxcI6K6Ezg&oe=678772D6","80 000 лв.","Продава КЪЩА, с. Вакарел, вилна зона Млечановци област София","София, България"
"https://www.facebook.com/marketplace/np/item/1069503421292505/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/461536394_8724557450922647_4796565220426181554_n.jpg?stp=c120.0.720.720a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=3S5r6lJCjE0Q7kNvgEKUXNT&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=Ae-bLWBl_DPj6CWjj4qiGiv&oh=00_AYDV7pAgOEDYpg2QR7By_7Nlsq-APh5zEDIwtPdEu9_zJQ&oe=678773C4","20 000 лв.","Продавам къща в село Голямо Пещене на 20 км от гр Враца","Vratza"
"https://www.facebook.com/marketplace/np/item/897630208875455/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473209296_1380647332923459_1110697184920430447_n.jpg?stp=c5.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=fuVzFbyzBuAQ7kNvgGg_xoO&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=Ae-bLWBl_DPj6CWjj4qiGiv&oh=00_AYAFkC4QCo2-Qw83ZSOx7BjUE6lVUTKyh40e04M9UWcbhA&oe=67876A4C","57 000 лв.","1-СТАЕН","София, България"
"https://www.facebook.com/marketplace/np/item/3511599175814686/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473209117_1118737816394303_510398751744979372_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=t227Tmug1_AQ7kNvgH9cn7i&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=Ae-bLWBl_DPj6CWjj4qiGiv&oh=00_AYDCZSRhaKLPP86VN2_FcXoHGd4SQxLBUHF4DYvyBNxaWQ&oe=67875ABA","195 000 лв.","УПИ в Банкя с идеен проект, 1583кв.м","София, България"
"https://www.facebook.com/marketplace/np/item/8873937229364603/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/473032845_9105550069506642_6683361617795934144_n.jpg?stp=c0.132.1200.1200a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=9tRnHcAkLIoQ7kNvgHOhu6S&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=Ae-bLWBl_DPj6CWjj4qiGiv&oh=00_AYDZ8g8YEcmpm03-BC4Jedh90FJ38vQBOCALrD2Za7sFTA&oe=6787652B","87 000 лв.","Едностаен в Надежда 2, пред Акт 15","София, България"
